,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING,sharesOutstanding,quoteType,exchange
83,33738D705,ECLN,616733,70.49069965733776,874914.0,ETF,PCX
84,46138E131,XSHD,646325,70.24355518845368,920120.0,ETF,BTS
85,26922A198,PFLD,2340063,69.74124905002459,3355350.0,ETF,PCX
86,73102V105,POLA,9304978,69.61614888987978,13366120.0,EQUITY,NCM
87,74255Y508,GENY,1091161,68.58174888453254,1591037.0,ETF,NGM
88,46429B309,EIDO,11232085,68.29451665821504,16446540.0,ETF,PCX
89,46137V472,XMHQ,2443158,67.7321617138705,3607087.0,ETF,PCX
90,46137R109,PIN,2928908,67.71681505954597,4325230.0,ETF,PCX
91,46641Q324,JIG,525281,66.94948846089629,784593.0,ETF,PCX
92,78464A870,XBI,39655821,66.92875653518647,59250796.0,EQUITY,NYQ
93,46138J510,BSMQ,686005,66.86788620065484,1025911.0,ETF,NGM
94,G5785G107,MNKKQ,57487990,66.39596324299987,86583562.0,EQUITY,PNK
95,56167N753,EBLU,828736,65.77744900623776,1259909.0,ETF,PCX
96,74348A814,RINF,832266,65.62670026857343,1268182.0,ETF,PCX
97,67092P888,NUEM,2156468,65.52228094450714,3291198.0,ETF,BTS
98,37950E119,SDEM,3732151,65.04049356278524,5738196.0,ETF,PCX
