,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,464288752,ITB,15581664,35958996,43.33175486879556
1,464288760,ITA,2160746,25864730,8.354024959858464
2,464288778,IAT,1809168,20905441,8.654053267759336
3,464288869,IWC,2650294,8756414,30.266887792194385
4,464288877,EFV,21226109,298915407,7.10104213530887
5,464288885,EFG,8354318,119034950,7.018374015362714
6,464289123,ENZL,318895,2401332,13.279921310339429
7,464289180,EUFN,26810682,78638269,34.09368280982889
8,464289420,IWX,1212625,18883693,6.4215458279267725
9,464289438,IWY,1622087,27241564,5.9544562125728175
10,464289511,IGLB,710977,36941259,1.924614967778981
11,464289867,AOR,924305,36390624,2.539953697963519
12,464289883,AOK,889689,25419775,3.4999877064214773
13,46429B267,GOVT,11599267,599318903,1.9354081678281387
14,46429B309,EIDO,11232085,16446540,68.29451665821504
15,46429B333,GNMA,405522,9958502,4.072118477256921
16,46429B366,CMBS,542675,15113608,3.5906383174686014
17,46429B408,EPHE,924299,3872315,23.869416615125576
18,46429B606,EPOL,3019039,12538174,24.078777340304896
19,46429B663,HDV,900018,76248967,1.180367466486464
20,46429B671,MCHI,22917792,92324017,24.823217993211884
21,46429B689,EFAV,3172559,112647317,2.816364458995504
22,46429B697,USMV,4004672,368189730,1.087665318638844
23,46429B747,STIP,3609383,65321983,5.525525763662134
24,46431W580,LQDI,497108,1871298,26.564876358548982
25,46431W622,IEIH,510977,1245023,41.04157111956968
26,46431W648,IETC,1089892,2604415,41.847862187861764
27,46431W853,COMT,24763220,78832455,31.412468379933113
28,46432F339,QUAL,1855767,177080499,1.0479793147635077
29,46432F388,VLUE,2947562,156554899,1.8827657382986145
30,46432F834,IXUS,17128922,430218192,3.9814499522605034
31,46432F859,ISTB,1655496,123193812,1.3438142493715513
32,46434G764,EMXC,3068424,24572826,12.487061927675718
33,46434G780,EWS,4003946,28429894,14.08357695600272
34,46434G822,EWJ,26889229,188779930,14.243690523669544
35,46434G830,EWI,13135011,18428836,71.27423023353184
36,46434G863,ESGE,55006493,165968980,33.14263484658399
37,46434G889,EMGF,2772668,14255234,19.450175282987285
38,46434VAX8,IBDO,2373410,66792522,3.5534067720934392
39,46434VBD1,IBDQ,2280733,46465578,4.908435659618826
40,46434VBG4,IBDP,3184755,57382055,5.550088786468174
41,46434V100,SLQD,706102,50613713,1.395080420201537
42,46434V282,LRGF,1123275,28800886,3.9001404331797294
43,46434V290,SMLF,1252042,19775985,6.331123329634403
44,46434V407,SHYG,3730149,127372937,2.9285255469927653
45,46434V423,KSA,2198261,21808221,10.079964798595906
46,46434V449,IMTM,3927535,22876511,17.168417858824714
47,46434V456,IQLT,4563413,102633997,4.446297653203548
48,46434V464,CRBN,440937,6404946,6.8843203361901875
49,46434V514,CNYA,4570352,16716320,27.34065870957244
50,46434V613,IUSB,13995989,296461203,4.721018756710638
51,46434V647,REET,5766099,116805672,4.9364888718760165
52,46434V738,IEUR,7627512,92600649,8.236996265544532
53,46435GAA0,IBDR,1589001,33940824,4.681680680469042
54,46435G193,SUSC,3825800,30009626,12.748576073557198
55,46435G243,SUSB,4900370,40425555,12.12196097245913
56,46435G326,IDEV,5464848,93527685,5.843027120793164
57,46435G334,EWU,34703409,103650285,33.48124802551194
58,46435G342,REM,1502567,40473712,3.7124516772763516
59,46435G425,ESGU,21938524,224787533,9.759671146886959
60,46435G441,HYXF,721575,2306538,31.283898205882583
61,46435G516,ESGD,14409017,86120758,16.73117763315553
62,46435G524,IGRO,1380130,3603963,38.294788265029354
63,46435G532,SDG,672084,6038680,11.129650850848199
64,46435G755,IBMK,776804,15110840,5.14070693621268
65,46435G839,HSCZ,1084979,2938487,36.92304917462626
