,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,70339L108,PTOTF,3466465,154351812,2.245820735813584
1,703481101,PTEN,6383844,195585077,3.2639729461568274
2,70387R106,PAVM,5766754,85830669,6.718756904947345
3,70465T107,PDSB,3240731,29705298,10.909606091142395
4,709102107,PEI,24660542,80392314,30.675248382575475
5,709102602,PEIPRC,928726,0.01,9287260000.0
6,71401N105,PKLBF,29138583,185522025,15.706266142793556
7,716382106,PETS,2878261,21104798,13.637946214884405
8,71646E100,PTR,2274459,214044197,1.0626118492714849
9,71654V101,PBRA,7555293,0.01,75552930000.0
10,71722W107,PHAT,330718,32669084,1.0123271286088096
11,71880W303,PHIO,8402389,13557570,61.975626900690905
12,71948P100,PHUN,9976040,77205461,12.92141756656307
13,72201R205,STPZ,1733730,20446749,8.479245282465197
14,72201R304,LTPZ,1257201,9829435,12.790165457119357
15,72201R403,TIPZ,751414,2961474,25.372973053283605
16,72201R775,BOND,624163,40801396,1.529758932758085
17,72201R783,HYS,4045442,20811763,19.438247494938317
18,72201R866,MUNI,627710,12596238,4.983313271787973
19,72201R874,SMMU,898939,10675088,8.4209048206441
20,72369J102,PHD,330997,0,inf
21,72765Q882,PLG,8296039,77438649,10.713047176223336
22,72941H400,PSTV,6433499,12392596,51.91405416589067
23,72941N100,PLPRF,4793197,48449262,9.893230159006343
