,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,89621C105,TMQ,3146336,149637219,2.1026426587091276
1,898697206,TCX,310378,10910780,2.8446912136437543
2,899896104,TUP,711225,50276924,1.4146151821062083
3,90137F103,XXII,10883778,170814432,6.371696976986113
4,902104306,IIVIP,35620,2353748,1.5133310787730887
5,90214Q683,SQEW,823785,2694727,30.570258137466244
6,90214Q766,AFIF,923605,13887155,6.650786284159714
7,90238J103,TYME,13850151,176189146,7.860955861605685
8,902666106,UEXCF,29002987,536352107,5.407452794811151
9,904311107,UAA,5052210,191525092,2.6378841264308073
10,911549103,UAMY,10270804,107987730,9.511084268555326
11,91167Q100,BNO,4352896,12431631,35.014681500762045
12,912318300,UNG,10065336,21265535,47.331684813008465
13,91232N207,USO,16621657,51403668,32.33554656060731
