,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,916896103,UEC,15444140,242742381,6.362358289630519
1,91705J204,UONEK,1601390,38036917,4.210094104104178
2,91822J103,VBIV,21271186,260827883,8.155257695359204
3,91822M106,VEON,19095989,1832549683,1.04204481751014
4,92189F114,ESPO,1100962,9769739,11.269103504198014
5,92189F122,GOAT,82299,516802,15.924667474197083
6,92189F171,GRNB,1901655,3726018,51.03719305703838
7,92189F387,SHYD,2763329,17063947,16.193961455693692
8,92189F403,RSX,10192702,50695931,20.105562318206562
9,92189F411,BIZD,3119141,29698629,10.502643068136242
10,92189F437,ANGL,11590865,160381750,7.227047341733083
11,92189F486,FLTR,4168011,28965385,14.38962748121594
12,92189F528,SMB,3545466,18868911,18.789987403088602
13,92189F536,MLN,694921,11558740,6.012082631843955
14,92189F643,MOAT,5645558,90149868,6.262414050345587
15,92189F676,SMH,11935823,23407552,50.9913339079627
16,92189F684,RTH,512703,1379959,37.153495140073
17,92189F692,PPH,4539493,4544207,99.89626352848802
18,92189F726,BBH,138348,2964711,4.666491944746047
19,92189H102,DURA,1067602,1740098,61.35298126887106
20,92189H300,EMLC,5050812,121053825,4.172368778929538
21,92189H607,OIH,1758993,13961923,12.598500937156007
22,92189H805,REMX,2384078,9324315,25.568398322021512
23,921909768,VXUS,32302177,772521761,4.1813937976564
24,921910709,EDV,3563976,9352677,38.10648010190024
25,921910725,VSGX,4797527,40189854,11.937159562709533
26,921910733,ESGV,16442227,62889655,26.14456542971972
27,921910816,MGK,1219472,51759862,2.356018646263006
28,921910840,MGV,4702417,46485846,10.115803851348645
29,921932505,VOOG,496799,24804322,2.00287272516459
30,921932703,VOOV,911609,16820640,5.41958569947398
31,921932778,VIOV,772667,7555827,10.226107612045645
32,921932794,VIOG,440552,2446346,18.008572785697528
33,921932885,IVOO,912174,8055910,11.323041096536581
34,921935706,VFQY,237172,926852,25.588982922839893
35,921937793,BLV,4367335,58705389,7.439410715769211
36,921937819,BIV,4940747,166981570,2.958857675131453
37,921937827,BSV,7016308,523877055,1.3393043144445407
38,921943858,VEA,49129385,2069729614,2.3737102985665643
39,921946794,VYMI,6187666,41924466,14.75908124864369
40,921946810,VIGI,5586947,45320064,12.327756200873855
41,92203J407,BNDX,11706991,808363753,1.4482330456496855
42,92204A108,VCR,1833766,21447445,8.55004407284877
43,92204A207,VDC,728555,33087587,2.2018982526589204
44,92204A504,VHT,795624,64828766,1.2272700054170396
45,922042718,VSS,1513175,73914902,2.0471852888339077
46,922042866,VPL,10578831,68079097,15.539029549701578
47,92206C102,VGSH,2759232,227628466,1.2121647386579497
48,92206C409,VCSH,9295420,518369383,1.7932039014734786
