,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,29664W105,ESPR,2173406,28841771,7.535619085249653
1,29766C106,ETHOF,5403268,137131828,3.940199790817344
2,29766W102,EEMMF,6216047,55522612,11.1955233662278
3,29772L108,ETON,2325538,24631357,9.441371825352537
4,30049G104,EVOK,1790417,32487143,5.5111555977698625
5,301505673,SIXS,371806,1277175,29.111593947579617
6,301505681,SIXA,616987,4641880,13.291748170999682
7,301505715,URNM,3023815,8243747,36.68010432634578
8,301505731,THNQ,411021,971034,42.32817800406577
9,301505889,EMQQ,3892413,25770508,15.104137644473287
10,302104104,XONE,1019719,22777736,4.4768233331003575
11,30212W100,EXPI,1619732,150849445,1.073740775115215
12,30727R109,FUNFF,31937150,220015482,14.515864842638665
13,30729Q844,EJMLL,168,0,inf
14,30744W107,FTCH,16349804,319332334,5.119996398485598
15,31188V100,FSLY,10028586,120970965,8.29007687919163
16,31447M107,FDVXF,12771259,76180433,16.764487279824202
