,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,33939L308,TLTE,1104328,5531531,19.964237749006557
1,33939L407,GUNR,14931762,159439712,9.365146118678389
2,33939L506,TDTT,10217642,54340680,18.802933640138477
3,34348Q102,FLOOF,19322427,420985343,4.589809911743174
4,34385P108,FLDM,3712420,76294277,4.865921987831407
5,34988V106,FOSL,681822,53839272,1.2664027106458646
6,349915108,FSM,19076365,302664693,6.3028048666383425
7,35086B207,FFNTF,22840488,586878660,3.8918586680251757
8,35137L105,FOXA,3752109,336360745,1.1155014536550631
9,35473P520,HELX,336822,678745,49.624232959358814
10,35473P553,FLCB,3720620,68599080,5.423717052765139
11,35473P629,FLHY,306503,12435514,2.464739294250322
12,35473P728,FLRU,151304,617720,24.49394547691511
13,35473P744,FLJP,1561944,22644730,6.89760487318683
14,35473P769,FLIN,179087,1184164,15.12349640759219
15,35473P785,FLGR,160899,507019,31.734313704220156
16,35473P793,FLFR,312571,364939,85.6502045547338
17,35473P801,FLQL,2512052,25113618,10.00274830970193
18,35473P850,FLMB,1497330,4807684,31.14451781772679
19,35473P884,FLQM,955795,1210492,78.95921658300922
20,356390104,FRHC,4546007,62002031,7.332029171754067
21,358029106,FMS,7824996,592351143,1.321006313986297
22,35803L108,FREQ,3163076,35577102,8.890763502884525
23,35952H601,FCEL,20520797,381100176,5.384620184483987
24,359664109,FLGT,2983962,29858081,9.993817084225876
25,36117V105,FTFT,15304327,72317040,21.1628227593386
