,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,862121100,STOR,2861489,277571424,1.0309018697832526
1,867781304,SBFM,8133338,522247076,1.5573735830739242
2,86887Q109,SSSS,1562638,24230758,6.4489852112756845
3,87241L109,TFII,1178142,93528151,1.259665659379923
4,88338N107,TXMD,28442652,443660714,6.410901642285145
5,889478103,TOL,1276937,125862641,1.0145480738800008
6,89532E109,TRVN,19889057,171791364,11.577448677804316
7,89788C104,TCNNF,3316011,56911663,5.826593048247421
8,89832Q745,TFCPRO,265416,0.01,2654160000.0
9,90138F102,TWLO,6977849,171473147,4.0693537863395015
10,912909108,X,9614127,272430404,3.5290213055661734
11,91381U101,UBX,12428069,57740596,21.523970760537352
12,92189F106,GDX,17276850,443777354,3.893134664100052
13,92189F460,XMPT,848136,7190791,11.794752482724084
14,921910873,MGC,1062299,27389835,3.87844249518115
15,921935508,VFMO,138845,1220532,11.375777120141054
16,922042742,VT,10758412,232351286,4.630235616599944
17,922042858,VWO,23045786,1606815474,1.4342521822141725
18,92206C573,VTC,901156,7565536,11.911330538906958
