,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,04965B100,ATOM,1024930,23292737,4.400212821704894
1,05156V102,AUPH,8327259,133806626,6.223353244106162
2,051857100,JG,3562241,95451830,3.7319776896891343
3,05335B100,AUTO,1494038,13592777,10.991411100174748
4,05344R104,AVCO,3335911,86894441,3.8390384489613094
5,05352A209,AVTRPRA,78799,0.01,787990000.0
6,053774105,CAR,1920492,68523218,2.8026879881794224
7,053906103,ASM,25670893,106858918,24.023163887921832
8,05501U106,AZUL,6735739,112697955,5.976806766369451
9,05508R106,BGS,7682264,64872802,11.842041291819028
10,05580M876,RILYP,168337,2085288,8.072601961935234
11,058586108,BLDP,21353208,307225830,6.950329664663937
12,058934100,BBAR,2245635,211286723,1.0628377250188126
13,05961W105,BMA,851288,64924804,1.3111907122584459
