,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,75943R102,RLAY,8176756,95785430,8.53653420984799
1,759892300,RENN,777548,17637009,4.408615996056928
2,760911107,REFR,1264181,32892841,3.8433317450444613
3,78464A607,RWR,1909955,17465232,10.935755104770438
4,78464A722,XPH,854178,5069968,16.847798644882968
5,78468R549,XES,798772,2775877,28.77548248715631
6,78468R739,SHM,5864989,106068659,5.529426934680112
7,808524730,FNDE,7083604,154732013,4.577982191700692
8,81642T209,SLS,2818827,16430519,17.156043579633728
9,87283Q206,TEQI,1083825,1487709,72.85194886903285
10,87808K106,TCRR,835173,39118784,2.134966669720613
