,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,10802T105,BBI,10826938,87832612,12.326785864002314
1,10807Q700,BLIN,8393913,8440138,99.45231938150775
2,117043505,BCPRB,100694,0.01,1006940000.0
3,11777Q209,BTG,12084013,1076942669,1.122066508073328
4,12008R107,BLDR,2512753,214791802,1.1698551697983335
5,120613203,BHLL,2639233,148286616,1.7798187531638052
6,12508X109,CBNT,27178726,274958690,9.884657946253672
7,127097103,COG,4315811,417033849,1.034882662486229
8,127537207,CDZI,1619378,43069712,3.7598997643634116
9,13173L107,CLXT,725863,37345053,1.9436657380028353
10,132061706,EYLD,636796,2251810,28.27929532242951
11,132061821,TOKE,2847863,2150979,132.39845670273863
