,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,911805307,USEG,2283315,4680132,48.787405996241134
1,913821302,UUU,1837003,2359672,77.84992999026984
2,91688R108,URG,17656829,196310337,8.994345009962466
3,91705J105,UONE,4393936,8575236,51.239825935985905
4,91829B103,VOC,993900,17061762,5.8253069055822015
5,92189F445,IHY,633771,4587529,13.815084329712137
6,92189F791,GDXJ,12287719,108527764,11.322189407680048
7,92189H201,ITM,3701449,38334725,9.655603372660167
8,92189H409,HYD,4815333,63772762,7.550767520465869
9,921932828,VIOO,726587,9007354,8.066597582375469
10,921935805,VFVA,1465506,4047669,36.206171996771474
11,921946885,VWOB,909966,38905189,2.3389322180133862
12,92204A405,VFH,1446434,117937767,1.2264383469291902
13,92204A603,VIS,2894052,27840604,10.39507619877787
14,92204A801,VAW,906708,21678163,4.182586873251207
15,92204A884,VOX,1149407,33999824,3.380626323242144
16,922042775,VEU,12558533,568705856,2.208265110602272
17,922042874,VGK,18175452,317770785,5.719673694987411
18,92243A200,VXRT,47072626,125717847,37.44307361547482
19,92336X109,VNE,6030936,117214333,5.145220593457628
20,925050106,VRNA,6522594,61033648,10.686882094938845
21,925540106,VEXTF,4049665,69123897,5.85856002881319
22,92556H206,VIAC,15688636,617379460,2.5411658496056866
23,92647N691,VSMV,188102,4427109,4.248867601859362
24,92647N774,CSF,478329,1104263,43.316583096599274
25,92686J106,VKTX,3675116,79244722,4.6376792135127936
26,92823T108,VHC,2333689,73483193,3.1758132774660464
27,92912T100,IGD,1089846,97891558,1.1133197001522848
28,948596101,WB,1774912,131648677,1.3482186380042391
