,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,75915K200,RGLS,19732099,87188210,22.63161383861419
1,759937204,IPO,1997315,8118396,24.602335239621226
2,76131D103,QSR,5740364,321442802,1.7858119591677775
3,761525609,REV,3925121,56245882,6.978503777396538
4,76680V108,REI,13911953,100774177,13.805077266966915
5,77683B107,RCGCF,4227249,330416577,1.2793695275161694
6,78463X202,FEZ,8219579,58315972,14.094901822094297
7,78463X400,GXC,3242240,15977740,20.292231567167825
8,78463X848,CWI,12546333,60567873,20.71450156422036
9,78464A151,IBND,472174,5144551,9.178138189319146
10,78464A300,SLYV,2393726,49200994,4.865198455136902
11,78464A359,CWB,1474263,83294860,1.7699327425485796
12,78464A516,BWX,14645191,34814428,42.06644153395253
13,78464A581,XHE,514184,6549560,7.850664777481235
14,78464A698,KRE,63084846,73661068,85.64204635208384
15,78468R689,HAIL,2124533,3335388,63.69672733726931
16,78470P507,FISR,487088,3324423,14.65180574192875
17,784730103,SSRM,7253144,214772844,3.3771234132374763
18,79400X107,SLRX,5055427,45121498,11.204031834226779
19,80007P869,SD,445505,36709631,1.2135916048842879
20,808524607,SCHA,3770459,170588555,2.2102649266241805
21,808524714,SCHJ,3567108,13181852,27.060749885524434
22,808524797,SCHD,4678750,377526124,1.2393182094068806
23,808524854,SCHR,3758051,70410972,5.337308793294318
24,81369Y209,XLV,30364766,246041920,12.341297775598564
25,81369Y407,XLY,5360455,114119502,4.69722957606317
26,81369Y704,XLI,30365568,177342906,17.122516307474967
27,819047101,SHAK,1272399,40750698,3.1223980507033278
