,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,87968A104,TELL,31100757,443035909,7.019917882096551
1,880770102,TER,1747169,171551048,1.0184542853973122
2,88166A607,SOYB,433800,2207729,19.649150778922593
3,88362L100,THMO,4764046,11979263,39.76910766547157
4,88554D205,DDD,5438504,130909437,4.154401794578034
5,886364207,SFY,3211369,19753771,16.25699214595532
6,886364702,SPSK,461862,2014572,22.92606072158255
7,88688T100,TLRY,59462120,473072984,12.569333276490802
8,887080109,TMBR,55181087,38234946,144.32107998792517
9,887432334,TPIF,1265218,2999012,42.18782719108827
10,887432342,TPSC,309679,1607048,19.27005291690105
11,893641100,TDG,1145315,57773520,1.9824220507942045
