,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,40054A108,SUPV,4671151,80664526,5.7908367303862915
1,435631106,HSTRF,27909188,275317971,10.137074560962823
2,45245S108,IWSY,6460229,348492634,1.853763428468907
3,45409B107,QAI,2391604,27042462,8.8438841108476
4,459506309,IFFT,191408,16867526,1.1347722244506988
5,46050R102,THM,2004176,197667827,1.0139110802285494
6,46090A887,GSY,745679,61155135,1.2193236103558598
7,46137V381,RCD,4146645,4957190,83.64910362523929
8,46137V530,PNQI,408109,4497113,9.074910948424023
9,46137V571,PGJ,2016163,5519292,36.52937731868508
10,46138E362,SPHD,976627,69902524,1.3971269478052037
11,46138J528,BSMP,874173,1613359,54.18341485063151
12,46138J569,BSML,706148,1629796,43.32738575870845
13,46138J858,BSJN,1535047,27632389,5.5552453318459
