,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,36165L108,GDS,3902746,179358654,2.1759451874566365
1,36168Q104,GFL,5734240,320822496,1.7873559589786374
2,362393100,GTTN,25518468,59338850,43.00465546602268
3,36352H100,GAU,4976729,232215488,2.143151192395918
4,36465A109,GGN,3324917,171202844,1.9420921535625892
5,36467W109,GME,61302951,79129917,77.47126917876079
6,36472T109,GCI,1506858,143542504,1.0497643262514078
7,37229T301,GNUS,57059410,302410971,18.8681679805856
8,373737105,GGB,12598107,1168400832,1.0782350247419201
9,37427C209,GGLDF,8192735,86948826,9.42247914882715
10,375916103,GIL,2206858,205235265,1.0752820671437728
11,378973408,GSAT,41576801,1826157138,2.2767373154719177
12,37946R109,GLP,633856,35023883,1.8097821991924767
13,37950E101,GXF,764457,1393336,54.86522992300493
14,37950E119,SDEM,3732151,5738196,65.04049356278524
15,37950E291,DIV,2931864,34655354,8.460060745592154
