,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,44183U209,HUSA,5778742,10249208,56.382327297875115
1,44967K104,IMAC,3953006,25601180,15.440717966906211
2,45259A209,NACP,299669,1058809,28.30246059487594
3,45332Y109,NARI,7114344,50734843,14.022599813701998
4,457637502,INM,1549873,9502518,16.310129588810042
5,45782C862,LOUP,211580,1517111,13.946243880638926
6,45782T105,INMB,1428217,18104146,7.888894621154735
7,45783G201,EPRF,2193067,9913559,22.1218938627389
8,46090F100,PDBC,6033024,287590455,2.097783113142611
9,46121E205,INTZ,4376626,18038578,24.262588769469524
10,46137R109,PIN,2928908,4325230,67.71681505954597
11,46137V282,RYT,536965,9870713,5.439981893911818
12,46137V290,EWRE,1826267,2428540,75.20020259085706
13,46137V316,RTM,1663682,2744405,60.62086317434927
