,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,74347X799,URTY,2908552,3834719,75.84785221550784
1,74347X823,UDOW,2159267,13373201,16.146224079036877
2,74347X849,TBF,56776713,49826227,113.94945276510701
3,74347Y870,BOIL,5046825,1789826,281.9729403863839
4,74347Y888,UCO,1794821,13412932,13.381272640463695
5,74348A608,TBX,2488054,4222151,58.928588769089494
6,74348A814,RINF,832266,1268182,65.62670026857343
7,74365A309,PLX,4506513,47153554,9.557101464716743
8,74460W594,PSAPRJ,107819,0.01,1078190000.0
9,74460W644,PSAPRH,196795,0.01,1967950000.0
10,746922103,PMO,365099,34193654,1.0677390605870902
11,74704P108,NEW,2791454,88325665,3.1604109632234296
12,74836W203,QRHC,5548530,19449518,28.527853492307624
13,74915J107,QTT,16352042,175239752,9.331240094427889
14,750102105,RXT,11072302,219123150,5.0530042124713885
15,754198109,RAVE,4840721,18300767,26.450918696467753
16,754907103,RYN,2014822,147083783,1.3698464636308683
