,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,04744L106,ATHX,23176089,227867958,10.1708415713279
1,05156X884,ACB,77338683,200853900,38.504944638864366
2,051918803,AUNFF,12054875,280808314,4.29291954653451
3,05280R100,AUTL,7105208,74453959,9.543089575666487
4,053588307,AVEO,1995918,35553195,5.613892084804193
5,055630107,BPT,927336,22237467,4.170151213715123
6,060505195,BACPRK,319116,0.01,3191160000.0
7,06055H202,BACPRN,284955,0.01,2849550000.0
8,07160F107,BXRX,7003017,86189311,8.12515719031563
9,08783B101,BVNNF,7357267,181500738,4.053574151307307
10,08862E109,BYND,6029733,63347704,9.51847126140515
11,089804108,BBKCF,13776688,200434980,6.873395053099014
12,09061H307,BMRA,1042348,12625484,8.255905278561993
13,09075V102,BNTX,11681959,254474100,4.590627887081633
14,09228F103,BB,33830496,591871878,5.715847847733019
