,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,46428Q109,SLV,15248861,596216134,2.5576062321050843
1,46428R107,GSG,8117048,79938239,10.154149130055266
2,464286251,CEMB,1625108,9626447,16.8817010055735
3,464286285,EMHY,1052894,11153865,9.439723360467426
4,464286301,EWK,291879,1871781,15.593651180346418
5,464286392,URTH,3683181,12448419,29.587540393683724
6,464286400,EWZ,51530766,156794095,32.86524661531418
7,464286475,EEMS,903040,6650880,13.577752117013087
8,464286509,EWC,12989466,103752086,12.519715507213993
9,464286525,ACWV,884027,50829239,1.7392095915502492
10,464286608,EZU,22125113,160425494,13.791519320489048
11,464286624,THD,3118532,5008451,62.26539902257204
12,464286640,ECH,2939778,18042913,16.293255972580482
13,464286707,EWQ,6512630,18422598,35.35131147083598
14,464286715,TUR,9465907,12124899,78.06998639741246
15,464286749,EWL,2908804,36497955,7.969772553010161
16,464286814,EWN,2476293,6484643,38.187036664932826
17,464286871,EWH,24853502,40041720,62.069017015253095
18,464287184,FXI,61288384,127670435,48.00515013518987
19,464287192,IYT,2707047,6316192,42.85884596288397
20,464287234,EEM,91134269,616716000,14.777347920274487
21,464287242,LQD,27244362,314280625,8.668801011834566
22,464287291,IXN,8401983,103728633,8.099965030870502
23,464287325,IXJ,3385525,42088583,8.043808459885666
24,464287333,IXG,14522731,39658633,36.61934338483125
25,464287341,IXC,10534455,55303958,19.048284030593255
26,464287390,ILF,14240496,49839102,28.572938573411694
27,464287432,TLT,32304454,119876193,26.94818144583554
28,464287440,IEF,9645963,124235449,7.764259780636362
29,464287457,SHY,6747701,227234505,2.96948784252638
30,464287465,EFA,34412028,743434805,4.6287889359713255
31,464287473,IWS,1417264,123754882,1.1452186589293505
32,464287481,IWP,6585623,140585473,4.684426391622981
33,464287515,IGV,13564841,13532285,100.24058021243272
34,464287523,SOXX,3025859,16865334,17.9412930689662
35,464287549,IGM,626698,9350098,6.702582154753886
36,464287556,IBB,18699098,67431573,27.73047871803317
37,464287564,ICF,2923732,39590021,7.385022604559871
38,464287572,IOO,1313944,49218352,2.6696220954330205
39,464287580,IYC,2590376,17017240,15.22206891364287
40,464287598,IWD,5226658,348441370,1.5000107478626892
41,464287614,IWF,3743481,272754587,1.372472243702358
42,464287622,IWB,2254234,125808142,1.7918029502414876
43,464287630,IWN,3484981,99391540,3.506315527458373
44,464287648,IWO,7924486,42171585,18.791055636158802
45,464287655,IWM,89641968,320051016,28.008649721018227
46,464287663,IUSV,3081955,153305916,2.010330116679907
47,464287671,IUSG,1598153,122473580,1.3048961253520963
48,464287697,IDU,741720,10291420,7.207168690035
49,464287705,IJJ,8163739,86348956,9.454357502596789
50,464287713,IYZ,4314369,13466443,32.03792567940918
51,464287721,IYW,2809714,86605229,3.244277548183609
52,464287739,IYR,12123336,72768179,16.660216273929297
53,464287754,IYJ,2872462,14902173,19.275457344375212
54,464287762,IYH,736353,10683510,6.892425803879062
55,464287770,IYG,1294052,13925458,9.292706925689625
56,464287788,IYF,2739486,28492997,9.614594070255228
57,464287804,IJR,8533968,638828781,1.335877194925568
58,464287846,IYY,527697,15913903,3.315949581947307
59,464287861,IEV,5387925,39672603,13.58097173507874
60,464287879,IJS,1675261,86966904,1.926320155078764
61,464287887,IJT,1549090,49328438,3.140358914263614
62,464288117,IGOV,5544063,22916840,24.192091928904684
63,464288158,SUB,5470648,59128506,9.252132972884516
64,464288257,ACWI,31387607,169065632,18.565338578097293
65,464288273,SCZ,4703089,203452419,2.311640737975202
66,464288307,IMCG,1532084,18692046,8.196448906663294
67,464288323,NYF,342204,9393630,3.642936756078321
68,464288372,IGF,1581777,67680224,2.337133222254111
69,464288414,MUB,13711775,212363304,6.456753469987452
70,464288430,AIA,8954518,32613621,27.456374745999533
71,464288448,IDV,4609125,144788328,3.183353978643914
72,464288513,HYG,101261725,227217745,44.565940481453154
73,464288521,USRT,3687623,40151161,9.184349613202967
74,464288562,REZ,2421244,12923729,18.734871336283824
75,464288612,GVI,594014,21843672,2.719387106709897
76,464288620,USIG,4614425,114333997,4.035916806092242
77,464288646,IGSB,10893651,481214949,2.2637806707039765
78,464288653,TLH,579953,10700156,5.420042474147106
79,464288661,IEI,3706982,85840947,4.318430923181684
80,464288679,SHV,5601142,131174498,4.2699930896629015
