,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,44852D108,HUYA,10234785,85289871,12.00000056278664
1,44916T107,HYRE,790481,21946775,3.601809377459786
2,45031U101,STAR,3631358,75093499,4.83578212276405
3,45074T102,ITHUF,6832571,172799181,3.9540528840816673
4,450913108,IAG,9066224,495186863,1.830869249049525
5,451033203,IBIO,45090677,226009583,19.950781025068302
6,45166V106,IDEX,94203734,491628794,19.161557490060275
7,45257A102,ISVLF,4805502,149255461,3.2196490284533037
8,45259A308,SDGA,42195,204571,20.626090697117384
9,453415606,ICD,1733436,7494887,23.128247297124027
10,45409B412,HYLV,187591,1527463,12.281214013039923
11,45409B800,MNA,482551,23150596,2.0843999005468365
12,45409F827,MMIT,4318935,8269627,52.22647889681119
13,45409F843,MMIN,6551227,18733497,34.97065710689253
14,45667G103,INFN,2391049,215197137,1.11109703099814
15,45773H201,INO,56436521,212462463,26.56305504657545
16,45782B104,INSG,12425279,107694812,11.537490775321656
