,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,477143101,JBLU,6369389,320701019,1.986083181107697
1,47759T100,JKS,7369771,29752981,24.76985751444536
2,47804J107,JHML,2296036,13485186,17.02635766388391
3,47804J206,JHMM,2604231,46558230,5.593492278379139
4,48213Y107,JUSHF,7208513,174178240,4.138584130830579
5,48253L205,KLXE,740185,9266154,7.988049842469702
6,483119103,KALA,13152954,67722457,19.421849978065623
7,483709101,KNDI,22783850,79479924,28.66616983680055
8,48576U106,KPTI,4584544,75502510,6.072041843377128
9,49639K101,KC,4161445,227810638,1.8267123241189465
10,496902404,KGC,18889047,1299062159,1.4540525924133243
11,500255104,KSS,2080795,154180388,1.3495847474453104
12,500600101,KOPN,7521383,93534552,8.041288314504355
13,500688106,KOS,4820529,423637960,1.137888823749411
14,500692108,KOSS,4110492,8905522,46.15666549361171
15,500767306,KWEB,28644243,149227019,19.195078204973054
16,500767405,KBA,3194793,16688462,19.143723370074486
17,500767678,KRBN,5387840,22460983,23.987552103129236
18,500767736,IVOL,2977203,124165554,2.3977688691341883
19,500767827,KARS,1510955,5682044,26.59175113744279
20,500767850,KGRN,1809874,4230353,42.78304907415528
