,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,727493108,POLY,944679,43508298,2.171261675186651
1,72919P202,PLUG,20145259,598664235,3.365034659202583
2,72940R300,PSTI,1389451,33378626,4.162696810827384
3,731094108,PTE,14558772,82009581,17.752525768909855
4,74255Y409,BTEC,303621,2532181,11.990493570562293
5,74340E103,PGNY,2227801,89626752,2.4856429026904827
6,74347B276,DXD,4311540,12215489,35.29568075416383
7,74347B284,EEV,232654,396343,58.70016627012461
8,74347B698,SMDV,1099919,13206231,8.328788130390874
9,74347G705,DIG,416928,2786931,14.960112037219437
10,74347X831,TQQQ,10464513,125014951,8.370609208173828
11,74347X864,UPRO,5128396,25488571,20.12037473579825
12,74348A145,PAWZ,2121038,5194205,40.83469943908644
13,743713109,PRLB,357710,27989342,1.2780221843014388
14,74754R103,QLGN,4102540,29456947,13.927241000229929
15,74933W601,TMFC,535024,13413557,3.9886810038530425
