,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,16106R109,CWBHF,1462615,114328972,1.2793039020765447
1,18469Q207,CTR,178887,7463397,2.3968576239479154
2,185063104,CLSD,1373430,60898290,2.2552850006133176
3,18914C100,GLQ,5571686,13387967,41.617117819307445
4,18914U100,CLDR,6145433,304784493,2.0163207581561573
5,19188J300,COCP,9699213,98348408,9.862094564865757
6,194693107,CIGI,486217,44749528,1.086529895913092
7,19761L508,DIAL,4099876,56521253,7.253689156537277
8,19762B202,XCEM,347529,1615323,21.514520625286707
9,204429104,CCU,1937343,192171140,1.008134207873253
10,21833P103,CRBP,49386726,126264707,39.11364242107654
11,21870U502,CORR,849646,14981970,5.6711233569417105
12,225310101,CACC,363421,15886557,2.2876007683729083
13,22544F103,DHY,7664734,104772300,7.315611091863021
14,22576C101,CPG,10663917,608940081,1.751225996240507
15,23126M102,CURLF,6349303,617927347,1.02751610376616
16,233051242,QARP,80620,963437,8.367957635008828
17,233051432,HYLB,7286368,175413918,4.153814066224779
18,23306J101,DBVT,3804709,113748774,3.3448351715861127
19,23340C203,DSGT,4908618,122576854,4.004522746194808
