,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,G9108L173,TNP,740997,18752928,3.95136695453638
1,H8817H100,RIG,73067459,667604844,10.944716722277107
2,M25722105,CGEN,2493282,86127447,2.894875079717619
3,M4119S104,EVGN,2134973,40853850,5.225879568265904
4,M96883109,VBLT,4028607,63902628,6.304290020748443
5,P73398102,NYMX,4730814,86046744,5.497958179568073
6,V7780T103,RCL,2891099,262529758,1.1012462061538943
7,Y1968P121,DAC,1079776,21409194,5.04351541678776
8,Y62267409,NMM,854895,11721922,7.293129915042942
9,000899104,ADMA,17297195,134854396,12.826571111556499
10,00162Q478,DTEC,1464338,4940763,29.637891961221374
11,00162Q783,RIGS,912437,5694642,16.02272803101582
12,00214Q708,ARKF,6345557,68261604,9.295938900000063
13,003013109,FCO,541636,9111426,5.944579915372193
14,003057106,ACP,4129085,17975124,22.971107181235578
15,003260106,PPLT,954120,13445013,7.09646022655389
