,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,756158101,UTG,3311141,56407106,5.87007778771703
1,75624R108,RECAF,28153768,195708187,14.38558520804242
2,75689M101,RRGB,329988,16490760,2.0010478595286085
3,75704L104,RDVT,525816,13278708,3.959843081119037
4,75704R101,RWBYF,2818169,231822062,1.2156603973266358
5,757468103,RDHL,4285997,46933409,9.132081157795293
6,758338107,REED,4544795,94348797,4.8170142540344205
7,75903M309,RHE,3154991,1803793,174.90870626507586
8,75955K102,MARK,16180159,101614068,15.923148554587934
9,76118L102,RESN,3025201,65720862,4.603106088292025
10,76129W105,RVP,3200459,34511678,9.273553722887655
11,761516103,RVVTF,65330844,313115362,20.864784015292102
12,76156B107,RVLV,2801478,39904552,7.0204471910873725
13,767292105,RIOT,16531597,100725697,16.41249203765748
14,767754872,RAD,6062173,57604884,10.523713579563845
15,76881Y109,RIV,665191,13097789,5.078651060877527
16,77311W101,RKT,217698544,142973638,152.2648140211694
17,775109200,RCI,4612980,398546958,1.157449557048181
