,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,46435UAA9,IBDS,793745,19447909,4.081389932460091
1,46435U135,IHAK,5375646,14732723,36.48779658722967
2,46435U150,IBHC,1339507,3246954,41.25426476630097
3,46435U168,IBHE,453976,1638634,27.704539268683547
4,46435U184,IBHD,827332,1774894,46.61303717292413
5,46435U192,IDNA,1453207,7212833,20.147520398711574
6,46435U259,IBMO,1389688,4645682,29.913541219566902
7,46435U283,IBMP,594513,2317956,25.64815725578915
8,46435U325,IBMQ,266881,2650777,10.068029109955308
9,46435U366,IDRV,3969494,8901994,44.591065776948405
10,46435U432,IBMN,946597,6599594,14.343261115759546
11,46435U515,IBDT,568215,10550123,5.385861378109051
12,46435U713,IFRA,3370310,19667401,17.136529630935986
13,46435U853,USHY,14696548,203190137,7.232904223102128
14,46436E205,IBDU,1075769,5293720,20.32160748962922
15,46436E601,LDEM,936595,14032343,6.674544657296362
16,46436E619,EUSB,2309249,9637985,23.959873355270837
17,46436E668,EAOA,112439,622233,18.070240569047286
18,46436E676,EAOR,119489,252588,47.30588943259379
19,46436E726,IBDV,863062,4224948,20.42775437709529
20,46436E759,DMXF,740534,3728387,19.862047582506857
21,46436E767,USXF,8905529,11915885,74.73661419189594
22,46436E841,IBTH,823628,922714,89.26146129786694
23,46436E866,IBTF,114790,832124,13.79481904139287
24,46500E107,ISENF,1142332,101108119,1.1298123348531486
25,46591M109,YY,1551850,63715430,2.435595271035603
26,46641Q209,JPIN,1925555,14098894,13.657489729336216
27,46641Q324,JIG,525281,784593,66.94948846089629
28,46641Q647,JMUB,1141904,1845053,61.89003784715127
29,46641Q654,JMST,3415368,45477340,7.510043463403972
30,46641Q746,JPMB,301893,1530065,19.7307303938068
31,46641Q753,JVAL,2389148,14858394,16.07944977095102
32,46641Q779,JMOM,1505104,4835898,31.123567949530777
33,46641Q837,JPST,3972079,367133649,1.0819163568414836
34,47103U100,JSML,389430,2188315,17.795884047771914
