,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,834223307,SNGX,5445027,41096455,13.249383675550606
1,83587F202,SRNE,40821746,302359890,13.501045393289434
2,84841L308,ANY,27847633,36859699,75.55035378883588
3,848577102,SAVE,5678935,112454683,5.049976442510625
4,84920Y106,SPWH,686691,45677661,1.5033409876219361
5,852066208,SII,1192767,25969142,4.593016588688221
6,85207K107,PSLV,59414215,432845594,13.726422498827606
7,853606101,SLI,11265627,150011701,7.509832183024176
8,857477608,STTPRD,194574,0.01,1945740000.0
9,85858U107,STMH,15095202,221976804,6.800351085332322
10,860897107,SFIX,18049308,80909331,22.308067285836287
11,86280R803,SSUS,2073189,8795028,23.572284249691986
