,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,63845R107,EYE,1847628,84933114,2.175391803013369
1,640655106,NEOV,534311,20800549,2.5687350848287704
2,64132R107,NRBO,3807078,22797955,16.699208328115393
3,65342K105,NEXT,14057200,125534971,11.197835860415342
4,654902204,NOK,120657282,5737585778,2.1029277237587296
5,67063X100,NXR,341435,13619172,2.5070173135341856
6,67072T108,JFR,637279,59729662,1.0669389021488185
7,67073S208,NUZE,672242,18424952,3.648541391044058
8,67091J206,NXTD,35516062,88624479,40.07477663140902
9,67092P409,NUMG,2067561,6727233,30.734196362754197
10,67092P607,NUSC,7018893,24460795,28.694459848913333
11,674870506,OPTT,11325990,53981203,20.981359011209882
12,67575Y109,OVTZ,2005479,67688882,2.962789369161098
13,67577C105,OCGN,67339401,206787068,32.56460940777979
