,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,64129H104,NML,943038,59430866,1.5867815219115264
1,643611106,GBR,4371131,5334587,81.93944535912527
2,644393100,NFE,4037453,215543904,1.8731464565103173
3,644535106,NGD,29016771,698190952,4.1559935597675866
4,65340P106,NXE,6716981,483004308,1.3906668923540948
5,65343B104,NEXCF,4351237,85703286,5.07709471023083
6,65343L102,NXGWF,11067461,186805018,5.924605836873183
7,65347A102,OILFF,4919760,131297591,3.7470299055220293
8,654110105,NKLA,77604077,398580970,19.470090857574057
9,65441V101,NINE,1048712,32249765,3.2518438506451135
10,65442R109,JFU,11685945,145542620,8.029225391160336
11,655664100,JWN,21527842,162728343,13.22931310128316
12,66510M204,NAK,68916239,544761733,12.650712196776126
13,66538H393,RISN,888898,3590490,24.757010881523133
14,66538H419,WWJD,2268143,3178469,71.35960740847244
15,66538H534,BIBL,863150,6589455,13.098958866856211
16,66538H591,SECT,886675,23576270,3.760879053387156
17,66538H633,IBD,1564755,8950034,17.483229672647056
18,66538R730,LGH,1387597,6583138,21.078048189176652
19,66538R748,QQH,812311,5961694,13.625506441625484
20,66987P201,NBY,7624502,45501081,16.756749141850058
