,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,09564P103,BLAGF,15459062,71060382,21.754825354020753
1,099724106,BWA,2694133,250446866,1.0757303706886874
2,10756L108,BBRW,318422643,6312376602,5.044417706305921
3,11284V105,BEPC,13733220,176006204,7.8026908642379444
4,115637209,BFB,1007670,0.01,10076700000.0
5,12482W101,YCBD,1452601,57812317,2.5126150885805183
6,13462K109,CWH,3680572,46708343,7.879902740287747
7,13471N201,CANF,5477499,19571343,27.98734353590349
8,135086106,GOOS,3281149,60058445,5.463259996158742
9,150837607,CVM,7724194,43816835,17.628370465370217
10,15189T107,CNP,16718761,603025285,2.772480925074311
