,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,81734P206,SQBG,3437456,1706215,201.46675536201477
1,81750R102,MCRB,1441029,94602230,1.523250561852506
2,81752R100,SRG,1220926,44392111,2.750322011043809
3,826176109,SIEB,1008188,31582892,3.192196585417194
4,82639W106,SMTS,4048174,164040592,2.4677879728695444
5,82770L109,SILEF,30098065,226964281,13.261146144842058
6,828062109,SLVRF,7145697,209424233,3.412067886145726
7,828334102,VIPRF,5451057,95432087,5.711975050907144
8,82835P103,SVM,2689414,183748285,1.4636403273097216
9,828363101,SILV,3451459,147678172,2.337149054093113
10,829226109,SBGI,2684152,53837819,4.985625439247456
11,82968B103,SIRI,60713793,4196705908,1.446701158741286
12,83192H106,SDC,24975574,119677925,20.86898983250253
13,83304A106,SNAP,106308058,1328022996,8.004986232934177
14,83417L106,WNDW,676266,55833324,1.211222889040244
15,83417M104,SEDG,681407,52647211,1.2942888845526879
16,83417R103,SIRC,24247556,415084579,5.841594033297007
