,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,23258P105,CTEK,2958829,12140265,24.372029770355095
1,23908L306,DWLD,1107781,12584280,8.802895358335956
2,26922A420,QTUM,723258,2755393,26.248814597409513
3,30212P303,EXPE,2052750,148922783,1.3783988981726187
4,30219E103,EXPR,21186900,68100808,31.11108461444393
5,33736G106,FAN,4463038,19361463,23.051140298643755
6,33939L753,LKOR,276363,979326,28.219714374988513
7,35473P108,FLQH,334083,616065,54.228531080324316
8,35473P819,FLCH,2246107,4871440,46.10766015798203
