,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,G65773106,NAT,8103833,174165276,4.652955621303066
1,G9456A100,GLNG,1651012,114506974,1.4418440574632598
2,H0036K147,ADCT,1396750,77454771,1.8033104765102206
3,M8694L103,SLGL,587567,23041306,2.5500594454151164
4,N72482123,QGEN,7899200,237197805,3.330216314607127
5,Y11082206,CPLP,362867,19230195,1.8869647447672788
6,Y2687W108,GLOP,5619049,49727802,11.299612639223426
7,Y8565N300,TNK,692231,29225083,2.368619449258707
8,00326W106,ASGI,1820403,8965218,20.30517272418808
9,00847L100,AGRX,3659291,93435528,3.9163807154811603
