,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,38747R108,COMB,450041,8083713,5.567256036922637
1,38747R306,HIPS,1254449,4508504,27.82406314821945
2,39115V101,GPL,16553603,363356126,4.555751731016639
3,393210208,TGODF,21256465,529879089,4.0115689487040695
4,395330103,GNLN,2117761,21937549,9.653589833577124
5,39986L109,GRWG,4768067,62416693,7.639089433975619
6,401617105,GES,688805,67561433,1.0195239642119491
7,402031876,MOTO,445877,300337,148.4588978380952
8,404139107,HCHC,1106574,80170648,1.3802732391535615
9,40444R100,HPQFF,4076263,344514927,1.1831890813834025
10,40619L102,HOFV,19278465,97784890,19.715177876663766
11,410345102,HBI,5463425,364104213,1.50051133849418
12,413216300,HMY,17961973,639456996,2.8089415101183755
13,41653L503,HMOP,2073460,4815549,43.05760360864358
