,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,162828107,CKPT,3916859,76605411,5.113031767429588
1,163572209,CEMI,9481544,30018007,31.586187584005827
2,16679L109,CHWY,6142073,109990430,5.584188551676723
3,169379203,JRJC,410289,2457395,16.696094848406545
4,171757107,CDTX,1941020,50926183,3.811438214405348
5,17243V102,CNK,11330110,124988982,9.064887015401085
6,172967358,CPRJ,223684,0.01,2236840000.0
7,17322U207,CTXR,32233616,146313293,22.03054509886535
8,18469P209,EMO,210462,13765399,1.5289204475656681
9,189054109,CLX,1274242,123008652,1.0358962392336435
10,18914E106,GLO,11570747,33331970,34.71366078872626
11,189464100,CLVS,19811079,123361858,16.05932280948622
12,189763105,CODX,13930941,29591904,47.076866023896265
13,19249J109,CWBR,6780618,34549001,19.626089912122204
14,19249M102,COHN,349018,1682038,20.749709578499413
