,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,58039P107,MUX,18528928,459298620,4.034178896509639
1,58471G300,MDGS,17672767,20807899,84.93297184881568
2,58504D100,MEDIF,32668411,266843337,12.242543271747497
3,58507M107,MMNFF,139715482,511638556,27.307457649849205
4,590479135,MESA,757645,36082762,2.0997422536556374
5,590717104,MESO,6266145,134380345,4.662992195770892
6,59151K108,MEOH,836344,79051009,1.0579801707527858
7,59156R876,METPRE,113455,0.01,1134550000.0
8,59410T106,MGDDY,12686393,900847658,1.4082728513903735
9,594960304,MVIS,56203961,165709493,33.91716429909058
10,594972408,MSTR,1090287,7849455,13.889970704972509
11,59935P209,MLSS,2260640,69038697,3.274453456153728
12,60255C109,MNMD,64215178,459592513,13.972198454851679
