,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,007975402,AEZS,20122680,124699768,16.13690251612978
1,00848K101,UAVS,25024737,75717410,33.05017564652568
2,011532108,AGI,4130875,399363218,1.034365413191357
3,016095101,TARSF,12731110,152004249,8.375496134979752
4,019170109,AESE,10592010,41022646,25.819909325205398
5,02128L106,ALTG,341831,33614473,1.0169161360941164
6,025072208,VALQ,1302852,5043155,25.834066174844917
7,027259209,LIACF,16518143,182725261,9.039879275367406
8,03209T109,AMPE,17267117,205676681,8.395272092124046
9,032108607,BLOK,8182170,26349919,31.05197401176072
10,03212B103,AMPY,2891075,38892646,7.433474698532983
11,03615A108,ANVS,1030398,8455029,12.186806219115274
12,03836J102,APRE,3060440,21567834,14.18983473259299
13,03837J101,AQMS,6897528,72377621,9.529918094434189
14,046484200,ASTC,9744874,49453785,19.705011456655946
