,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,46137V480,XSVM,3027488,7317409,41.37377041518385
1,46137V506,PFM,3273278,18148506,18.036074153982703
2,46137V589,PSP,1495227,17582803,8.503917151321094
3,46137V613,PRF,580785,33146208,1.7521913818920103
4,46137V621,PGF,9729716,99437119,9.784792739218439
5,46137V662,PJP,181170,5747742,3.1520203933997037
6,46137V720,PEJ,6952481,28214123,24.641846921841235
7,46138B103,DBC,5385555,128559043,4.189168551915869
8,46138E107,PLW,142722,11622314,1.227999863022114
9,46138E214,IDHQ,643106,3642547,17.655393327800574
10,46138E354,SPLV,4247770,126091882,3.3687894356275847
11,46138E370,SPHB,7710860,18366556,41.98315677691561
12,46138E446,PBND,475216,925660,51.338072294362945
13,46138E453,PBSM,1748412,1098125,159.21793966989185
14,46138E461,PBUS,675456,48420363,1.3949833461595487
15,46138E487,PBDM,331606,310060,106.94897761723536
16,46138E511,PGX,6408635,505584660,1.2675691149331945
17,46138E529,PZT,454181,4612231,9.84731684080871
18,46138E610,KBWD,2495403,23884989,10.447578602611038
19,46138E628,KBWB,14021375,49759629,28.178214512009326
20,46138E636,PICB,878619,4105446,21.40130451112985
21,46138E651,PIO,398549,7760005,5.135937412411462
22,46138E669,PGHY,1259403,10996609,11.452648721073924
23,46138E719,PHB,4572632,43762510,10.448742542418156
24,46138E727,PXH,7065249,65885947,10.723453667593182
25,46138E735,PDN,1123889,11640493,9.65499485288123
26,46138E784,PCY,3475429,103872549,3.345858971844428
27,46138E800,CQQQ,5805616,22257334,26.084058405198036
28,46138E875,PIZ,2155464,8668204,24.86632755758863
29,46138G508,BKLN,20477176,296559701,6.904908499351367
30,46138G706,TAN,12757694,38176536,33.41763118581529
31,46138G805,BAB,1614357,71437891,2.2598049542084047
32,46138G870,VRP,910424,77948687,1.167978621628354
33,46138J478,BSMT,441048,606624,72.70533312232949
34,46138J536,BSMO,859034,1425759,60.25099613609313
35,46138J544,BSMN,537248,1439675,37.31731119870804
36,46138J577,BSCT,742744,5816637,12.769302949453436
37,46138J585,BSJR,478752,1852313,25.846171786301774
38,46138J593,OMFS,2500946,3361479,74.40016730730729
39,46138J619,OMFL,438624,36057502,1.2164569802977478
40,46138J635,BSJQ,318915,5016931,6.356774689546259
41,46138J643,BSCS,404057,10139794,3.9848639923059577
42,46138J668,BSCE,1403485,1252500,112.05469061876248
43,46138J783,BSCR,625480,16784924,3.726439273719678
44,46138J791,BSCQ,981536,28014458,3.503676565864669
45,46138J825,BSCP,1371367,50405295,2.7206804364501784
46,46138J833,BSJO,1254451,15490225,8.098339436644723
47,46138K103,FXE,5822184,2799683,207.9586867513215
48,46139W502,IIGD,253806,3799870,6.679333766681491
49,46139W601,IIGV,476672,2133850,22.33858987276519
50,46140H106,DBA,1616979,47912367,3.374867703780947
51,46140H403,DBO,4510111,34465299,13.085947694810365
52,46141D203,UUP,18950290,19319054,98.09119017939491
53,46185L103,NVTA,10673480,224012832,4.76467348084774
54,462044207,IO,5617238,30202832,18.59838176764351
55,462726100,IRBT,1351916,28811752,4.692238083959629
