,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,95766P108,MNP,143864,10162228,1.4156738069643782
1,97717W315,DEM,2651885,44705559,5.931890931058485
2,97717X784,EMCB,174046,770486,22.58911907549261
3,97717Y691,WCLD,8816749,22676244,38.88099369542857
4,981419104,WRLD,154965,6816143,2.2734998370779484
5,98379L100,XPEL,2011902,28963739,6.946278586476698
6,98954M200,Z,6062869,187285391,3.237235412558153
7,989696109,ZNOG,32916168,311202676,10.577083855152967
8,98979H202,ZSAN,13503846,115638633,11.677625071890983
9,98980F104,ZI,19956416,185155089,10.778216309247648
10,98985W102,ZYME,610102,48566953,1.2562081051286045
11,98986M103,ZYXI,1507365,36469683,4.133200170673269
12,98986X109,ZYNE,3118102,42679252,7.305896551326625
