,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,53656F862,OVB,934117,5700212,16.387408047279646
1,559222401,MGA,6465210,307753865,2.100772966734309
2,55955D100,MGNI,3425281,131601588,2.60276570522842
3,57667L107,MTCH,4245494,288746940,1.470316533917208
4,57667T100,MTLS,1876715,56784839,3.3049578603190195
5,57776F405,MMX,2476548,152544927,1.6234876168645058
6,57778K105,MAXR,1961686,73137686,2.6821822063115315
7,583935200,MLLOF,11427406,71571836,15.966344638692794
8,58490H107,MDNA,1499018,56376069,2.65896155334988
9,59124U605,MTA,5048947,43887226,11.504365757817549
10,59156R850,METPRF,243097,0.01,2430970000.0
11,59318D104,CXE,473662,32398187,1.4620015620009847
12,60770K107,MRNA,10892738,423699556,2.5708636805840785
13,60937P106,MDB,1013196,68477391,1.4796066047551375
