,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,501270102,KRUS,206298,9081262,2.27168867058345
1,50202M102,LI,24197417,874490303,2.767030911262146
2,51654W101,LTRN,497447,11411824,4.359049000405194
3,516683109,LRAXF,3141845,40691886,7.721060164181134
4,51669T101,LMRXF,8929139,177631406,5.026779442369555
5,52468L505,LVHI,313193,3200377,9.786128321757094
6,524682200,LRGE,643175,3013084,21.346069342905807
7,524682309,YLDE,145819,451959,32.263767288625736
8,52567D107,LMND,18291386,61857197,29.570344094317758
9,52736R102,LEVI,34198213,93485901,36.581145000677694
10,52886L103,LXXGF,8753176,121300270,7.216122437320213
11,528877103,LX,1928808,136210574,1.4160486541962594
12,530158104,USA,2731665,214148168,1.275595782822667
13,53272L103,LMNL,4532167,31382635,14.44163946080372
14,535919401,LGFA,6777571,0.01,67775710000.0
15,53630X104,LPCN,11911101,88326950,13.485239782422012
