,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,37950E416,SOCL,1253454,7059430,17.75573948604916
1,38748G101,BAR,15211107,62721407,24.251858699534594
2,44974L103,IMV,8785143,85309121,10.298011393177992
3,45408X308,IGC,7793371,52177940,14.93614159547119
4,46090A705,PHDG,1716967,6808369,25.218477435638402
5,46131B100,IVR,17186918,292349506,5.878894148020213
6,46138E537,PZA,7750489,92513071,8.377723186813245
7,46138J510,BSMQ,686005,1025911,66.86788620065484
8,46138J551,BSMM,942743,2114351,44.587819146395276
9,464286426,EEMA,6355360,10369202,61.29073384817848
10,464286533,EEMV,787188,60294593,1.305569804576009
11,464288240,ACWX,9051428,81141826,11.155070629048945
12,464288745,RXI,412980,2611737,15.812465037635873
13,46435G102,ICVT,6889081,18941771,36.36978295218541
