,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,221013105,KOR,1916533,127798699,1.4996498516780676
1,221015100,CRVS,1854015,43345673,4.277278149539863
2,226344208,CEQP,1916879,63409038,3.0230375045273514
3,23256Y108,CYIO,7605231,112624803,6.752714142372351
4,244633103,DFMTF,9846058,81427447,12.091817148583818
5,25400W102,APPS,2366755,96591785,2.450265309829402
6,25459W755,DRN,1145941,6327506,18.110468800819785
7,25459W771,YINN,6200483,45931743,13.499341838606039
8,25460G609,ERX,5405158,20564138,26.284388871539377
9,25460G815,RETL,546791,759134,72.02825851562437
10,25490K323,LABU,5451646,12925968,42.17592059643038
11,26922A511,PPTY,801676,4303232,18.62962536065915
12,26922A784,ADME,1554799,6970567,22.305201284199693
13,26924G201,HACK,2875308,39340707,7.30873494469736
14,27829U105,ETX,306158,11070621,2.765499785423058
15,284902509,EGO,4241225,189667555,2.236136275389853
16,29446Y502,EQX,6667744,302739614,2.2024682901260486
17,29472E107,EQMEF,15449712,79101554,19.53148986175417
18,29667K306,GMBL,1695713,22795189,7.438907394011955
19,301505699,SIXL,652344,4213996,15.48041336536627
20,30151E806,CEFS,382014,3946595,9.679584553266803
